condition,seed,method,scene,auc,cnr,n_target,n_bg,n_valid,file
150k_1mm,44,namt_4p,u_explosive_soil,0.9175795113295113,1.9343352770667788,648,1628,2276,150k_1mm/seed_44/namt_4p/u_explosive_soil.npz
150k_1mm,44,namt_4p,u_explosive_concrete,0.967284139852094,2.8411599952548277,648,1631,2279,150k_1mm/seed_44/namt_4p/u_explosive_concrete.npz
150k_1mm,44,namt_4p,u_void_soil,0.9769454656862745,3.0757177050630267,648,1632,2280,150k_1mm/seed_44/namt_4p/u_void_soil.npz
150k_1mm,44,namt_4p,u_void_concrete,0.9802694325226514,4.114232796931812,648,1631,2279,150k_1mm/seed_44/namt_4p/u_void_concrete.npz
150k_1mm,45,poca,u_pb_soil,0.9759758752311087,3.459136386822767,648,1656,2304,150k_1mm/seed_45/poca/u_pb_soil.npz
150k_1mm,45,poca,u_pb_concrete,0.9691628272797758,3.0626312886618337,648,1656,2304,150k_1mm/seed_45/poca/u_pb_concrete.npz
150k_1mm,45,poca,u_explosive_soil,0.51639625526836,0.1754266949849928,648,1655,2303,150k_1mm/seed_45/poca/u_explosive_soil.npz
150k_1mm,45,poca,u_explosive_concrete,0.5673197351941314,0.2571957128244197,648,1656,2304,150k_1mm/seed_45/poca/u_explosive_concrete.npz
150k_1mm,45,poca,u_void_soil,0.6727407258305004,0.3241634644172285,648,1656,2304,150k_1mm/seed_45/poca/u_void_soil.npz
150k_1mm,45,poca,u_void_concrete,0.6856278329456671,0.36098592390840084,648,1656,2304,150k_1mm/seed_45/poca/u_void_concrete.npz
150k_1mm,45,asr_q75,u_pb_soil,0.9999478141587642,6.046824154885393,648,1656,2304,150k_1mm/seed_45/asr_q75/u_pb_soil.npz
150k_1mm,45,asr_q75,u_pb_concrete,0.999944086598676,5.874700638353271,648,1656,2304,150k_1mm/seed_45/asr_q75/u_pb_concrete.npz
150k_1mm,45,asr_q75,u_explosive_soil,0.5599474096452949,0.12867690056830997,648,1655,2303,150k_1mm/seed_45/asr_q75/u_explosive_soil.npz
150k_1mm,45,asr_q75,u_explosive_concrete,0.6943736208027673,0.488475131523281,648,1656,2304,150k_1mm/seed_45/asr_q75/u_explosive_concrete.npz
150k_1mm,45,asr_q75,u_void_soil,0.8940528141434486,1.2690391583513636,648,1655,2303,150k_1mm/seed_45/asr_q75/u_void_soil.npz
150k_1mm,45,asr_q75,u_void_concrete,0.8793901338939584,1.143209507741914,648,1656,2304,150k_1mm/seed_45/asr_q75/u_void_concrete.npz
150k_1mm,45,mlsd_median,u_pb_soil,0.9981157183753802,5.64640889457033,648,1656,2304,150k_1mm/seed_45/mlsd_median/u_pb_soil.npz
150k_1mm,45,mlsd_median,u_pb_concrete,0.9980679571817538,5.3077440045679385,648,1655,2303,150k_1mm/seed_45/mlsd_median/u_pb_concrete.npz
150k_1mm,45,mlsd_median,u_explosive_soil,0.7045485062101376,0.512356460850184,648,1655,2303,150k_1mm/seed_45/mlsd_median/u_explosive_soil.npz
150k_1mm,45,mlsd_median,u_explosive_concrete,0.7582351121250075,0.6271749714379682,648,1656,2304,150k_1mm/seed_45/mlsd_median/u_explosive_concrete.npz
150k_1mm,45,mlsd_median,u_void_soil,0.8879802961173734,1.0351172967883138,648,1656,2304,150k_1mm/seed_45/mlsd_median/u_void_soil.npz
150k_1mm,45,mlsd_median,u_void_concrete,0.8999671974712232,1.0219883995343528,648,1656,2304,150k_1mm/seed_45/mlsd_median/u_void_concrete.npz
