condition,method,scene,n,auc_mean,auc_std,cnr_mean,cnr_std
50k_1mm,namt_3p,u_pb_soil,5,0.9998134333955733,9.542561232570098e-05,9.644722171755618,0.6709421115840685
50k_1mm,namt_3p,u_void_concrete,5,0.8905505234591079,0.008622617643623256,2.2335280551526884,0.47794217988495713
50k_1mm,namt_3p,u_void_soil,5,0.9033357361185264,0.015075081889940107,2.160254450329195,0.2388770778390944
50k_1mm,namt_4p,u_explosive_concrete,5,0.8183539775659957,0.03168852430956429,1.3721545583905812,0.19843404870918538
50k_1mm,namt_4p,u_explosive_soil,5,0.736086950479512,0.0483586128169162,0.8069984683215589,0.21311881398549357
50k_1mm,namt_4p,u_pb_concrete,5,0.9995633913191811,0.00020641149760729273,8.09091240875937,0.4560609444043508
50k_1mm,namt_4p,u_pb_soil,5,0.9997604110776674,0.0001974719610933441,9.665079429084281,0.6903425658022617
50k_1mm,namt_4p,u_void_concrete,5,0.9173347911589669,0.01042656699726301,2.4718667276692314,0.3852395215903464
50k_1mm,namt_4p,u_void_soil,5,0.9215763948129136,0.01375937914579123,2.267798171376954,0.24372710922046106
50k_1mm,poca,u_explosive_concrete,5,0.4723839447494611,0.009032422004266117,0.11407736041291457,0.017676577009536436
50k_1mm,poca,u_explosive_soil,5,0.436167912291077,0.008161016623548812,0.05714105878297297,0.024906048703501917
50k_1mm,poca,u_pb_concrete,5,0.936656694936841,0.007604273234048676,1.7853820731029095,0.5907646974988411
50k_1mm,poca,u_pb_soil,5,0.9457957603843115,0.005431143744398279,1.617934758757396,0.6920206409123835
50k_1mm,poca,u_void_concrete,5,0.5471576212327283,0.008820447272131523,0.1981797861891577,0.04034996151020926
50k_1mm,poca,u_void_soil,5,0.5347759250610928,0.007854936923860984,0.15291651394682657,0.04610101350452775
